D:\通达信超赢版\T0002\hq_cache\tdxzs.cfg
黑龙江|880201|3|1|0|1
新疆板块|880202|3|1|0|2
吉林板块|880203|3|1|0|3
甘肃板块|880204|3|1|0|4
辽宁板块|880205|3|1|0|5
青海板块|880206|3|1|0|6
北京板块|880207|3|1|0|7
陕西板块|880208|3|1|0|8
天津板块|880209|3|1|0|9
广西板块|880210|3|1|0|10
河北板块|880211|3|1|0|11
广东板块|880212|3|1|0|12
河南板块|880213|3|1|0|13
宁夏板块|880214|3|1|0|14
山东板块|880215|3|1|0|15
上海板块|880216|3|1|0|16
山西板块|880217|3|1|0|17
深圳板块|880218|3|1|0|18
湖北板块|880219|3|1|0|19
福建板块|880220|3|1|0|20
湖南板块|880221|3|1|0|21
江西板块|880222|3|1|0|22
四川板块|880223|3|1|0|23
安徽板块|880224|3|1|0|24
重庆板块|880225|3|1|0|25
江苏板块|880226|3|1|0|26
云南板块|880227|3|1|0|27
浙江板块|880228|3|1|0|28
贵州板块|880229|3|1|0|29
海南板块|880230|3|1|0|30
西藏板块|880231|3|1|0|31
内蒙板块|880232|3|1|0|32



D:\通达信超赢版\incon.dat
....
######
#TDXNHY
T01|能源
T0101|煤炭
T010101|煤炭开采
T010102|焦炭加工
T0102|电力
T010201|水力发电
T010202|火力发电
T010203|新型电力
T0103|石油
T010301|石油开采
T010302|石油加工
T010303|石油贸易
T02|材料
T0201|钢铁
T020101|普钢
T020102|特种钢
T020103|钢加工
T0202|有色
T020201|铜
T020202|铝
T020203|铅锌
T020204|黄金
T020205|小金属
T0203|化纤
T0204|化工
T020401|化工原料
T020402|农药化肥
T020404|塑料
T020405|橡胶
T020406|染料涂料
T0206|建材
T020601|陶瓷
T020602|水泥
T020603|玻璃
T020604|其他建材
T0207|造纸
T0208|矿物制品
T03|日常消费
T0301|日用化工
T0302|农林牧渔
T030201|种植业
T030202|渔业
T030203|林业
T030204|饲料
T030206|农业综合
T0303|纺织服饰
T030301|纺织
T030302|服饰
T0304|食品饮料
T030401|乳制品
T030402|软饮料
T030403|食品
T0305|酿酒
T030501|白酒
T030502|啤酒
T030503|红黄药酒
T04|可选消费
T0401|家用电器
T0402|汽车类
T040201|汽车整车
T040202|汽车配件
T040203|汽车服务
T040204|摩托车
T0403|医疗保健
T0404|家居用品
T0405|医药
T040501|化学制药
T040502|生物制药
T040503|中成药
T05|商贸
T0501|商业连锁
T050101|百货
T050102|超市连锁
T050103|电器连锁
T050104|医药商业
T050105|其他商业
T050106|商品城
T050107|批发业
T0502|商贸代理
T06|社会服务
T0601|传媒娱乐
T060101|出版业
T060102|影视音像
T0602|广告包装
T0603|文教休闲
T0604|酒店餐饮
T0605|旅游
T060501|旅游服务
T060502|旅游景点
T07|装备制造
T0701|航空
T0702|船舶
T0703|运输设备
T0704|通用机械
T070401|机床制造
T070402|机械基件
T0705|工业机械
T070501|化工机械
T070502|轻工机械
T070504|纺织机械
T070505|农用机械
T070506|专用机械
T0706|电气设备
T0707|工程机械
T0708|电器仪表
T08|公用事业
T0801|电信运营
T0802|公共交通
T0803|水务
T0804|供气供热
T0805|环境保护
T09|交通运输
T0901|运输服务
T090101|铁路
T090102|水运
T090103|空运
T090104|公路
T0902|仓储物流
T0903|交通设施
T090301|路桥
T090302|机场
T090303|港口
T10|金融
T1001|银行
T1002|证券
T1003|保险
T1004|多元金融
T11|建筑地产
T1101|建筑
T110101|建筑施工
T110102|装修装饰
T1102|房地产
T110201|全国地产
T110202|区域地产
T110203|园区开发
T110204|房产服务
T12|信息产业
T1201|电脑设备
T1202|通信设备
T1203|半导体
T1204|元器件
T1205|软件服务
T1206|互联网
T13|综合类
T1301|综合类
######
#SWHY
110000|农业
110100|种植业
110101|种子生产
110102|粮食种植
110103|其他种植业
110200|渔业
110201|海洋捕捞
110202|水产养殖
110300|林业
110301|林业





D:\通达信超赢版\T0002\hq_cache\tdxhy.cfg
0|000001|T1001|440101
0|000002|T110201|430101
0|000004|T040502|370301
0|000005|T110204|430101
0|000006|T110202|430101
0|000007|T0604|460201
0|000008|T0703|310306
0|000009|T1301|510101
0|000010|T110101|250202
0|000011|T110202|430101
0|000012|T020603|250101
0|000014|T110201|430101
0|000016|T0401|330201
0|000017|T0603|310307
0|000018|T110102|250203
0|000019|T030402|340304
0|000020|T1204|270202
0|000021|T1201|320201
0|000022|T090303|420101
0|000023|T020604|250104
0|000024|T110201|430101
0|000025|T040203|310401
0|000026|T050105|450102
0|000027|T010202|410101
0|000028|T050104|370401
0|000029|T110202|430101
0|000030|T040202|310201
0|000031|T110201|430101
0|000032|T1204|270203
0|000033|T0604|460201
0|000034|T1301|510101
0|000035|T0805|410401
0|000036|T110201|430101
0|000037|T010202|410103
0|000038|T0602|360201
0|000039|T070502|260106
0|000040|T110201|430101
0|000042|T110201|430101
0|000043|T110201|430101
